,user_id,actual,recommendations
0,1,"[  883616   940947   959219   965766   976335   979707   990656   991024
  1004906  1037863  1046816  1062002  1087268  1131321  1132231  5582712
  9527558 13877012]","[865456, 5577022, 856942, 940947, 5582712]"
1,2,"[  820291   826835   866211   885023   899624   940947   947798   951412
   951590   960791   990656  1026118  1037965  1044759  1108168  1135476
  1139142  7410217  8019273 12302069 15926927]","[5569230, 1106523, 8090521, 916122, 1075368]"
2,3,[ 989069 1130858],"[1106523, 854405, 910032, 5569230, 998206]"
3,6,"[  956902   960791  1037863  1137688   847738   948650 12757544   936741
   986912  1016276   904521 12384953   852856  1011457]","[965267, 878996, 866211, 863447, 871611]"
4,7,"[  859987   930918   954673   957013   993838   998549  1011241  1018769
  1055504  1082185  1112667  1122358  1135578  5565265  5981267  7168286
  9420082 14106445   842707   856345   857981   861246   873044   909714
   990797  1001412  1079023  1083548  5568378  5592610  5592694  9420048
 10285005]","[1122358, 1106523, 893018, 1029743, 1126899]"
5,8,"[  850834   857503   878290   885863   932863   982790   988736  1004906
  1018339  1082185  1096563  1114883  1131321  7167865  8019273  8090993
  9268695 13189991   862854   897752   980984   981086  1021519  1029743
  1043301  1062002  1026209   825994   867138   826239   909714  1071342
   974177]","[916122, 5569230, 865456, 844179, 1029743]"
6,9,[1056005  889692  918046],"[1029743, 862799, 5569230, 1056005, 893018]"
7,10,[ 986912 1068504 1106523 1108940],"[1106523, 899624, 1060872, 5569230, 8090537]"
8,13,"[  878996   942525   951590  1029743  1038985  1082185  1138854  6464165
  7442056 12301334   870826   898466 13115579 13133916   825365   862070
   886317   951197   968164  1004906  1075214  1132771  6039592  7168417
  9677874  9858920  9859111  1015280  1042942  8090509  8090521  8090539
  8090565 12427353]","[1029743, 825365, 1038985, 862070, 951197]"
9,14,"[  835098   846823   859075   871756   893018   898068   902377   917387
   920145   933067   941295   949784   951190   951590   951674   965693
   969846   985893  1004945  1025611  1027168  1029743  1075470  1104649
  1119761  1121384  1122358  1131344  1137387  5568378  5569327  7024814
  9836106 12695224 13003100 13003402 13841744 16729415   844179   921836
  1015785  1127758  5569471  9835223 13876901]","[1029743, 1025611, 893018, 837751, 1127758]"
10,15,[ 901666  967205 1098844 1127179 1070820 1130729],"[1029743, 878996, 1070820, 857006, 1106523]"
11,16,[9677923],"[1106523, 1029743, 878996, 5569230, 986912]"
12,18,"[ 1029313  1137688   819845  1101706  1128477  5568729 13672062   938118
   944486   951412   990797   825118   832288   866211   933354  1053628
  9487463  9836460   837644   845975   870929   878715  1010766  5565784]","[951412, 866211, 1101706, 1127831, 874972]"
